state,fire_type,year,effect_pct,ci_lower,ci_upper,n_treated,n_control
CO,wildfire,0,0.0,0.0,0.0,44,40
CO,wildfire,1,-7.484205893419456,-10.108992521388222,-4.85941926545069,44,40
CO,wildfire,2,-6.769427799242032,-9.361664849724384,-4.1771907487596796,44,40
CO,wildfire,3,-7.365876518398985,-9.81683930786632,-4.914913728931649,44,40
CO,wildfire,4,-8.811644092289894,-12.400579874395595,-5.222708310184196,44,40
CO,wildfire,5,-5.873164534324533,-9.943867651706903,-1.8024614169421627,44,40
CO,prescribed,0,0.0,0.0,0.0,22,22
CO,prescribed,1,8.278640898119127,4.997205951855802,11.560075844382451,22,22
CO,prescribed,2,6.688324265906717,3.1582869375190876,10.218361594294347,22,22
CO,prescribed,3,2.0799440398538227,-0.5562645271375852,4.71615260684523,22,22
CO,prescribed,4,4.204103028925305,1.3555046577397551,7.052701400110855,22,22
CO,prescribed,5,-0.17510615901456136,-7.35815564778497,7.007943329755848,22,22
CA,wildfire,0,0.0,0.0,0.0,141,142
CA,wildfire,1,-18.029947055270746,-22.483826314389336,-13.576067796152152,141,142
CA,wildfire,2,-16.920135038048233,-21.316167782788366,-12.5241022933081,141,142
CA,wildfire,3,-18.408691914326354,-23.41944987042972,-13.397933958222985,141,142
CA,wildfire,4,-18.85264459590873,-24.907676034561117,-12.797613157256338,141,142
CA,wildfire,5,-22.44878175992317,-32.770904305272666,-12.126659214573673,141,142
CA,prescribed,0,0.0,0.0,0.0,32,35
CA,prescribed,1,-3.173726540072995,-4.840766908218744,-1.5066861719272462,32,35
CA,prescribed,2,-3.0660601186261007,-5.004830308042077,-1.127289929210124,32,35
CA,prescribed,3,-1.9999466419028142,-3.822310640204931,-0.17758264360069745,32,35
CA,prescribed,4,-1.880941975853463,-4.378300802352324,0.616416850645399,32,35
CA,prescribed,5,-2.180668831592275,-6.314079883065875,1.9527422198813247,32,35
