state,fire_type,stratification,stratum,year,effect_pct,ci_lower,ci_upper,n_treated,n_control
CO,wildfire,size,small,0,0.0,0.0,0.0,12,40
CO,wildfire,size,small,1,0.7803185154712059,-1.184715106408015,2.7453521373504266,12,40
CO,wildfire,size,small,2,0.3730534209992644,-1.6201065626251467,2.3662134046236756,12,40
CO,wildfire,size,small,3,-1.5277333488007085,-3.674350050630182,0.6188833530287648,12,40
CO,wildfire,size,small,4,1.635724189758335,-0.4689174962781229,3.7403658757947933,12,40
CO,wildfire,size,small,5,-3.7767114991158217,-7.803642643077458,0.2502196448458145,12,40
CO,wildfire,size,medium,0,0.0,0.0,0.0,14,40
CO,wildfire,size,medium,1,0.6360479657164875,-1.1003241377482689,2.372420069181244,14,40
CO,wildfire,size,medium,2,-0.53240501276828,-2.2277363783221737,1.1629263527856137,14,40
CO,wildfire,size,medium,3,-4.320651064219305,-6.243119851387954,-2.3981822770506556,14,40
CO,wildfire,size,medium,4,-1.4181707129017935,-3.4161601589814334,0.579818733177847,14,40
CO,wildfire,size,medium,5,2.24421644892724,-1.2373561662266441,5.725789064081124,14,40
CO,wildfire,size,large,0,0.0,0.0,0.0,18,40
CO,wildfire,size,large,1,-13.487257231813205,-16.928042988526123,-10.046471475100285,18,40
CO,wildfire,size,large,2,-11.935566789555121,-15.446513530045017,-8.424620049065226,18,40
CO,wildfire,size,large,3,-8.667206600612557,-11.722425708263826,-5.6119874929612905,18,40
CO,wildfire,size,large,4,-12.220331942522623,-16.531520972901816,-7.90914291214343,18,40
CO,wildfire,size,large,5,-6.9651920365138125,-11.0321029626373,-2.898281110390324,18,40
CO,wildfire,severity,low,0,0.0,0.0,0.0,31,40
CO,wildfire,severity,low,1,-1.7530826789227145,-3.1275280469410305,-0.3786373109043983,31,40
CO,wildfire,severity,low,2,-1.1590367056091,-2.742582405038459,0.424508993820259,31,40
CO,wildfire,severity,low,3,-1.915919747336027,-3.7774723888404833,-0.05436710583157136,31,40
CO,wildfire,severity,low,4,-1.9941855706363487,-4.081392231098854,0.09302108982615687,31,40
CO,wildfire,severity,low,5,-7.551020772899994,-10.779987271159916,-4.322054274640072,31,40
CO,wildfire,severity,moderate,0,0.0,0.0,0.0,8,40
CO,wildfire,severity,moderate,1,-19.446919093272424,-21.485611815989945,-17.408226370554903,8,40
CO,wildfire,severity,moderate,2,-16.578676818074882,-19.483751811582415,-13.673601824567344,8,40
CO,wildfire,severity,moderate,3,-16.208174646999495,-18.051330071535517,-14.36501922246347,8,40
CO,wildfire,severity,moderate,4,-19.086832282806558,-21.112187157350753,-17.061477408262355,8,40
CO,wildfire,severity,moderate,5,-6.69512258112013,-10.872554582090805,-2.5176905801494547,8,40
CO,wildfire,severity,high,0,0.0,0.0,0.0,5,40
CO,wildfire,severity,high,1,-14.99813588591955,-16.2472647595643,-13.749007012274806,5,40
CO,wildfire,severity,high,2,-4.886281274395065,-6.056990033384082,-3.7155725154060475,5,40
CO,wildfire,severity,high,3,-2.781219861764512,-4.058500946487208,-1.5039387770418156,5,40
CO,wildfire,severity,high,4,-3.309161117404338,-4.760168857415887,-1.858153377392788,5,40
CO,wildfire,severity,high,5,-3.6172205165356695,-6.2838905365050675,-0.9505504965662714,5,40
CO,wildfire,vegetation,grass,0,0.0,0.0,0.0,27,40
